Question,Answer
"Why is the Bronze Age not called the 'Copper Alloy Age'?","While technologically accurate, 'the Bronze Age' simply sounds better than 'the Copper Alloy Age'."
"What is a unique visual property of copper among most metals?","Copper is not gray, unlike the vast majority of metals, which sets it apart visually, apart from gold."
"What is a disadvantage of copper when used in jewelry?","Copper tarnishes slowly over time, whereas gold remains bright."
"What attribute of copper was unknown to the ancients yet valuable in modern times?","Copper has the second-highest electrical conductivity of any metal, which is invaluable in modern electrical applications."
"Why is copper considered vital to both the modern age and the Bronze Age?","Copper's use in electrical wiring makes it as essential to modern civilization as it was for the development of tools and weapons during the Bronze Age."
"What element is mentioned at the end of the text as special to the author, despite not being as pretty as copper?","Zinc is mentioned as having a special place in the author's heart."
"Is copper typically found in its native metallic form?","Yes, you can find copper in native metallic form in several places around the world."
"How does the price of gold compare to copper?","Gold is much more expensive than copper, at six thousand times the price."
"What metals are exceptions to the common metallic shade of gray?","Gold and copper are exceptions, as they are not shades of gray."
"What is the atomic number of zinc?","The atomic number of zinc is 30."
"Which metals were likely the first to be cast by ancient civilizations?","The first metals to be cast were probably lead or a bronze copper alloy."
"Why did the author start with casting zinc instead of other metals?","The author arrived too late for casting metals like lead or tin, and zinc was the only metal with a low enough melting point for casting on a kitchen stove."
"What common item did children in the past typically make by casting metals?","Children in the past commonly made 'tin soldiers' by casting lead or tin."
"Why did the author use scrap roof flashing and later pennies to cast zinc?","These sources of zinc were available to the author, and they had a low enough melting point for casting at home."
"In what year did pennies start being made primarily from zinc?","Pennies started being made primarily from zinc in 1983."
"Why was zinc chosen as a replacement for copper in pennies?","Zinc replaced copper in pennies because the value of the copper in a penny became worth more than one cent, which was economically untenable."
"What prompted discussions around 2008 regarding the material for pennies?","Around 2008, discussions about changing the material of pennies arose because the price of zinc threatened to exceed the value of one cent per penny."
"What is the function of sacrificial anodes made from zinc?","Sacrificial anodes made from zinc protect steel structures like bridges and ship hulls from rusting by generating a small electrical potential through their dissolution."
"How is a worn-out sacrificial zinc anode treated?","Once a sacrificial zinc anode has completely dissolved, it is replaced by bolting a new one in place without ceremony."
"What sentiment does the author express about the respect given to zinc and its uses?","The author suggests that zinc and its applications, such as in pot metals and sacrificial anodes, do not receive much respect."
"What is the evident contrast made at the end of the text?","The evident contrast is between the low regard for zinc and the heightened interest in gallium, which the author finds much more interesting."
"What could be a 'far better solution' for the issue with the penny's material?","A far better solution would be to eliminate pennies entirely, according to the author."
"What type of metal is typically found in inexpensive 'pot metal' alloys?","Zinc is the primary component of inexpensive 'pot metal' alloys."
"Why did the price of zinc nearly cause a change in the material for pennies?","The price of zinc nearly exceeded the value of the penny, making zinc too expensive to use for minting pennies."
"What material was considered as a last resort for minting pennies?","Aluminum was considered as a last resort for minting pennies."
"For what purpose did the ancients use the metals they cast?","The text does not specify the exact purposes, but it implies the metals were used for practical or ornamental objects, as indicated by the reference to casting bronze."
"What is suggested by the term 'untenable situation' regarding the copper in pennies?","The term 'untenable situation' suggests it was not sustainable or practical economically to continue using copper for pennies when its value exceeded that of the penny itself."
"What is the atomic number of gallium?","The atomic number of gallium is 31."
"Why is mercury usually the only metal cited as being liquid at room temperature?","Mercury is often cited as the only metal that's liquid at room temperature due to a climatological bias, as it remains liquid in temperate climates where room temperature is typically below the melting point of other metals with low melting points."
"At what temperature does gallium melt?","Gallium melts at 85.57°F (29.76°C)."
"What happens to gallium when it is held in one's hand in Alaska?","In Alaska, gallium will melt in your hand."
"Is gallium toxic to humans?","Gallium is not known to be toxic."
"What can be a consequence of handling gallium without protection?","Handling gallium can stain the skin dark brown."
"What is Galinstan?","Galinstan is a patented alloy made from gallium, indium, and tin, which remains liquid down to -2.2°F (-19°C)."
"Why are contemporary fever thermometers likely to contain Galinstan instead of mercury?","Mercury has been banned in fever thermometers, so they are likely to contain Galinstan now."
"What is the most important modern use of gallium?","Gallium's most important modern use is in semiconductor crystals."
"Why is gallium more suitable for higher frequency applications than silicon?","Gallium arsenide circuits can operate at frequencies as high as 250 gigahertz, which is well beyond the operational frequency limit of silicon semiconductors."
"How is gallium used in the creation of LEDs?","Gallium is used in LEDs in various compounds, including gallium arsenide, gallium nitride, indium gallium nitride, aluminum gallium nitride, and others."
"Which metal has a historical role in semiconductors alongside gallium and silicon?","The metal with a historical role in semiconductors alongside gallium and silicon is germanium."
"What is the significance of 'silicon' compared to 'gallium' in the context of semiconductors?","Silicon plays a more fundamental and ubiquitous role in semiconductors compared to gallium."
"At what temperature does cesium melt?","Cesium melts at 83.2°F (28.44°C)."
"What is the atomic number of Germanium?","Germanium has an atomic number of 32."
"Why is Germanium unique among elements named after countries?","Germanium is unique because it is the only element named after a country that is stable, common, and not radioactive."
"Which elements named after countries are radioactive and not found in nature to an appreciable degree?","Francium (87), polonium (84), and americium (95) are radioactive and are not found in nature to any appreciable degree."
"What was Dimitri Mendeleev's contribution to the modern periodic table?","Dimitri Mendeleev created the first systematic arrangements of the elements in 1869, leaving gaps for undiscovered elements, which led to the modern periodic table."
"How did Germanium confirm Mendeleev’s predictions?","Germanium was discovered nearly twenty years after Mendeleev's periodic table with properties that matched his predictions almost exactly, filling one of the predicted gaps."
"How did the discovery of Germanium reinforce the credibility of Mendeleev’s periodic table?","The discovery helped establish Mendeleev's periodic table as one of the most important scientific discoveries by confirming the accuracy of his predictions."
"What material was used to make the first diodes and transistors?","The first diodes and transistors were made with semiconducting germanium."
"Why were germanium transistors used in the mid 20th century instead of silicon ones?","Germanium transistors worked at lower purity levels available at the time, while silicon transistors required the material to be incredibly pure."
"What are the main uses of Germanium in modern times?","Currently, germanium is primarily used in fiber optics, infrared optics, and for medicinal purposes in bath salts in Japan."
"What property of germanium makes it suitable for use in infrared optics?","Germanium lenses appear opaque to the eye but are transparent to invisible infrared light, making them suitable for infrared optics."
"In what unconventional products is Germanium used in Japan?","Germanium is used in bath salts for medicinal purposes and is associated with other surprisingly unconventional ideas in Japan."
"What is an unexpected fact mentioned about arsenic?","Although arsenic is known as a notorious poison, it has health benefits for chickens."
"Do the health benefits of arsenic apply to humans as well?","No, the health benefits of arsenic mentioned in the text apply to chickens, not humans."
"What advantage did Germanium have over Silicon during the dawn of the semiconductor age?","Germanium transistors could operate with the lower purity levels of the material available during the mid 20th century, unlike Silicon transistors."
"How did the discovery of Germanium fit into Mendeleev's vision of the periodic table?","The discovery of Germanium filled one of the gaps left by Mendeleev on the periodic table, vindicating his foresight in anticipating the existence of more elements."
"Can you cite some examples of 'surprisingly nutty ideas' involving Germanium in Japan?","The text does not provide specifics, but it mentions the use of Germanium in medicinal bath salts as an example of its unconventional uses in Japan."
"What is the atomic number of arsenic?","Arsenic has an atomic number of 33."
"Name a chemical that can serve both as an artist's pigment and as a rat poison.","Paris green, or copper acetoarsenite."
"Why is arsenic intentionally added to chicken feed?","Organic arsenic compounds are less toxic, promote growth in chickens, and may be required for optimal health at very low concentrations."
"What happens to the arsenic in chicken feed under certain conditions?","Under certain conditions, the arsenic in chicken feed can be converted back to its toxic inorganic form."
"Why did the use of Paris green as a pigment turn out to be problematic?","In damp conditions, mold on the wallpaper turned Paris green to arsenic gas, which caused sickness and even deaths."
"Who promoted the use of Paris green in wallpaper during the Victorian era?","William Morris, a prominent figure of taste in Victorian England."
"What inference can be made about people's belief in damp weather being unhealthy?","It may have originated from the effects of arsenic in green wallpaper, as people felt better in drier climates away from arsenic vapor."
"Why did people of the time likely believe that damp weather was unhealthy?","People got sick from arsenic vapor in damp conditions and felt better in a dry climate, but were unaware arsenic was the cause, attributing their improved health to the weather."
"According to the text, why might doctors have unwittingly advised patients to healthier climates?","Doctors believed damp weather was unhealthy and may have unknowingly been advising patients to avoid arsenic exposure."
"Is it conclusively known whether arsenic in very low concentrations is an essential nutrient?","No, it is an unsettled question."
"What does the text suggest about implementing ideas without fully understanding their consequences?","It suggests that ideas which seem unintelligent, like feeding arsenic to chickens, usually are, if they lead to harmful results."
"What is the thematic link between feeding chickens arsenic and using it as a pigment?","Both practices reveal the dangerous consequences of using arsenic without fully understanding its toxic nature."
"What do the examples of arsenic usage in both animal feed and wallpaper illustrate about historical practices?","They illustrate that historical practices often overlooked potential hazards due to a lack of awareness or scientific understanding."
"Can it be inferred that people's trust in authority figures may have contributed to the arsenic-related health issues?","Yes, people's trust in authority, like the Victorian tastemaker William Morris, may have contributed to the widespread use of dangerous arsenic compounds."
"What is the atomic number of selenium?","The atomic number of selenium is 34."
"Why is selenium considered both essential and toxic?","Selenium is essential in small amounts for nutrition but toxic in larger quantities."
"How does the required amount of selenium vary?","The required amount of selenium varies depending on the selenium concentration in the soil where organisms live."
"What is locoweed and what indicates its presence?","Locoweed is a plant that requires more selenium than most, and its presence indicates high soil selenium levels."
"Why can locoweed be dangerous to livestock?","Locoweed can be dangerous to livestock because it accumulates selenium and produces a neurotoxin unrelated to selenium."
"What is the principal modern interest in selenium?","The principal modern interest in selenium lies in its photoconductive properties, especially its use in xerographic photocopiers and laser printers."
"How exactly does selenium function in xerographic photocopiers?","In photocopiers, selenium acts as an insulator in the dark and a conductor when exposed to light, which helps in forming an image on paper."
"How has the role of selenium light meters in photography changed with the advent of digital cameras?","Selenium light meters have mostly become unnecessary due to digital cameras' capabilities, which act as millions of light meters, providing a comprehensive image to assess lighting."
"Why might it be surprising that xerography works as a technology?","It's surprising because xerography, which relies on a finicky process using a selenium drum, is complex and before the drum's invention, it mostly did not work."
"What follows selenium on the list of elements discussed in the text?","The halogens, specifically bromine in its liquid state, follow selenium in the discussion."
"What physical state is bromine in at room temperature according to the text?","Bromine is in a liquid state 'just barely' at room temperature as mentioned in the text."
"What critical property of selenium is utilized in laser printers?","Selenium's ability to change from an insulator to a conductor when exposed to light is used in laser printers."
"In the context of xerography, what happens to the static charge on the selenium drum where the image is dark?","Where the image is dark on the selenium drum, the static charge remains in place."
"What happens to the static charge where the image is bright during the xerographic process?","Where the image is bright, the coating on the selenium drum becomes conductive and the static charge drains off."
"How is the black powder image in a photocopier fused to the paper?","The black powder image is fused to the paper in a photocopier with heated rollers."
"What is the atomic number of bromine?","Bromine has an atomic number of 35."
"Which elements are liquid at room temperature?","The two stable elements that are liquid at room temperature are mercury and bromine."
"What are the melting and boiling points of mercury?","Mercury melts at -37.8°F (-38.8°C) and boils at 675°F (357°C)."
"At what temperature does bromine boil?","Bromine boils at 138°F (59°C)."
"Why might a puddle of bromine evaporate quickly at room temperature?","A puddle of bromine evaporates quickly at room temperature because its boiling point is just 138°F (59°C), which is very close to room temperature."
"What color is the vapor that bromine produces when it evaporates?","Bromine produces reddish purple vapor when it evaporates."
"Why is mercury considered an insidious poison?","Mercury is considered an insidious poison because it evaporates, making it a potentially harmful inhalant."
"Why are bromine salts used in hot tubs?","Bromine salts are used in hot tubs because they are more effective as a disinfectant at the higher temperatures found in hot tubs."
"What is the typical use of chlorine compared to bromine in water treatment?","Chlorine is the disinfectant of choice for cool-water swimming pools, while bromine salts are used for the higher temperatures of hot tubs."
"What kind of compounds are added to children's pajamas for flame resistance?","Organic bromine compounds, typically tetrabromobisphenol A, are added to children's synthetic-fiber pajamas as a flame retardant."
"What concerns have been raised regarding the use of flame-retardant chemicals in children's pajamas?","Questions have been raised about the safety of flame-retardant chemicals such as tetrabromobisphenol A used in children's pajamas."
"What is the argument used to dampen criticism of flame-retardant chemicals in children's sleepwear?","The argument against criticism is the image of burning, molten polyester dripping off a child, as the flame-retardant can prevent such a scenario."
"Are snug-fitting cotton pajamas required to have added flame retardants?","No, snug-fitting cotton pajamas are not required to have added flame retardants because cotton doesn't burn as readily and the fit makes it harder for air to sustain combustion."
"Why are the halogens often involved in chemical safety dilemmas?","Halogens, due to their very active participation in chemical reactions, often find themselves in the middle of safety dilemmas."
"In contrast to the halogens, what is implied about krypton's reactivity?","The text implies that krypton is not a very active participant in the chemical conversation, unlike the halogens."
"What is the atomic number of krypton?","The atomic number of krypton is 36."
"Why are noble gases like krypton considered inert?","Noble gases like krypton are inert because they do not readily engage in chemical bonding."
"What is a practical application for krypton in lightbulb manufacturing?","Krypton is used in higher-efficiency lightbulbs to reduce evaporation of the tungsten filament, thus allowing it to operate longer and at higher temperatures."
"How does the molecular weight of krypton compare to that of argon and nitrogen?","The molecular weight of krypton is higher than that of argon (atomic number 18) and nitrogen (atomic number 7)."
"What is the misleading aspect about high-efficiency incandescent bulbs filled with krypton?","Despite their higher efficiency, incandescent bulbs filled with krypton still use several times as much power as compact fluorescent bulbs for the same amount of light."
"What characteristic of krypton makes it useful for photoflashes?","Krypton glows bluish-white when excited by an electric discharge, making it useful for photoflashes."
"How was the meter defined from 1960 to 1983?","From 1960 to 1983, the meter was defined as 1,650,763.73 wavelengths of the orange-red emission line of the krypton-86 atom in a vacuum."
"What is the current definition of a meter based on?","The current definition of the meter is based on the length of the path traveled by light in a vacuum during a time interval of 1/299,792,458 of a second."
"Did the scientific community frequently use krypton to measure length when it was the standard?","In practice, length was almost never actually measured with krypton when it was the standard."
"Contrast how length and time are defined with how they are measured in practice according to the text.","While length was once defined with krypton but seldom measured that way, time is defined with cesium but often measured with rubidium in practice."
"What celestial color is associated with neon's spectral emission compared to krypton?","Neon glows with an orange-red color, whereas krypton glows bluish-white."
"Why might krypton be chosen over argon or nitrogen for use in high-efficiency lightbulbs?","Krypton's higher molecular weight makes it more effective at reducing filament evaporation which enhances bulb efficiency and longevity."
"What can the spectral emission lines of noble gases like krypton and neon be used for?","The spectral emission lines of noble gases can be exploited for lighting, such as photoflashes, and can also be filtered into various colors for different applications."
"What changes occurred in the definition of the meter in 1983?","In 1983, the definition of the meter transitioned from being based on krypton's spectral lines to being based on the travel of light in a vacuum over a specific time interval."
"Explain why the noble gases are said to be 'handy' for protection in certain applications.","The noble gases are handy for protecting things from the rest of the world due to their stubborn inertness, which prevents them from reacting chemically with other elements."
"What is the atomic number of rubidium?","The atomic number of rubidium is 37."
"Why does rubidium share its name with rubies?","Rubidium shares its name with rubies because both derive their names from the Latin word for red."
"What is the cause of the red color in rubies?","The red color in rubies comes from chromium impurities, not rubidium."
"How was rubidium first discovered?","Rubidium was first discovered as an unexplained line in a flame emission spectrum."
"What does the color of the spectral line that led to rubidium's discovery appear as?","The spectral line that led to rubidium's discovery appears as reddish light."
"What is the visual appearance of rubidium?","Rubidium is a soft, silvery metal with a very low melting point, not red at all."
"Can you name an application of rubidium?","One application of rubidium is in creating the purple color of some fireworks."
"What characteristic of rubidium makes it useful for its applications?","Rubidium's high vapor pressure is a characteristic that makes it useful for its applications."
"What is the size of the rubidium sample used in a rubidium clock?","The size of the rubidium sample used in a rubidium clock ranges from pea-size to fingertip-size."
"How does a rubidium clock utilize microwave coils?","In a rubidium clock, microwave coils are used to measure the precise frequency of a specific hyperfine transition in the main spectral line."
"Why is a rubidium atomic clock not considered as accurate as a cesium atomic clock?","Though very accurate, rubidium atomic clocks are not as accurate as cesium atomic clocks, which have been used for decades as the ultimate time standard."
"What are the advantages of rubidium clocks compared to cesium clocks?","Rubidium clocks are smaller and cheaper than cesium clocks, which makes them commonplace where very accurate time and frequency standards are required."
"What is a common misconception about atomic clocks?","A common misconception about atomic clocks is that they might be dangerous; they are more like carefully tuned radios."
"Which elements are mentioned as having been unfairly associated with nuclear fallout?","Strontium and cobalt, along with rubidium, have been unfairly associated with nuclear fallout."
"What is the atomic number of the element chromium?","The atomic number of chromium is 24."
"What element is used as the time standard in the most accurate atomic clocks?","Cesium, with atomic number 55, is used as the time standard in the most accurate atomic clocks."
"What is the atomic number of strontium?","The atomic number of strontium is 38."
"How has the reputation of strontium been affected by the isotope 90Sr?","The reputation of strontium has been unfairly tainted due to the radioactive isotope 90Sr, which is associated with nuclear fallout."
"Is ordinary strontium radioactive?","No, ordinary strontium is not radioactive at all."
"Why might the bomb connection to strontium have remained in public memory?","The bomb connection might have persisted because strontium has few other associations in the public mind."
"What are strontium aluminate-based luminous paints known for?","Strontium aluminate-based luminous paints are known for glowing in the dark by absorbing light from the surroundings and releasing it over time."
"Do strontium aluminate-based luminous paints use radioactive decay to glow?","No, their glow comes not from radioactive decay but from absorbing and slowly releasing light."
"What role does strontium play in improving aluminum-silicon casting alloys?","Strontium is added to aluminum-silicon casting alloys to solve problems with brittleness."
"Why do manufacturers create a 'master alloy' when adding elements like strontium to an alloy?","Manufacturers make a master alloy with a higher percentage of exotic elements like strontium to simplify the process for end users who melt a measured amount into their alloy without handling the raw element."
"What makes it difficult for element collectors to obtain pure strontium?","Pure strontium is hard to buy because it's easier to find strontium aluminum alloy, not the pure element."
"What is the claimed benefit of strontium-containing pills sold in stores?","Strontium-containing pills are claimed to promote bone growth."
"Why is strontium believed to be bone-seeking?","Strontium is chemically similar to calcium, which is why it is considered bone-seeking."
"Is there clear evidence that the strontium compounds sold in health-food stores increase bone growth?","No, it is unclear and unproven whether the form of strontium compounds sold in health-food stores has any effect on bone growth."
"What is the primary danger associated with strontium-90 fallout?","The primary danger is its bone-seeking nature, leading to its accumulation in bones due to its chemical similarity to calcium."
"What is the author's opinion on the benefits claimed for yttrium?","The author believes the benefits claimed for yttrium are complete and utter nonsense."
"In the context of this text, what causes difficulties for element collectors like the author when trying to obtain pure strontium?","The difficulty arises because it is much easier to buy strontium aluminum alloy, which is not pure strontium."
"How does strontium inadvertently become associated with radioactivity in public perception?","Strontium becomes associated with radioactivity due to the notorious isotope 90Sr from nuclear fallout and its use in some older radioactive luminous paints."
"Can you infer why end users prefer using a master alloy rather than handling the raw element directly?","End users likely prefer using a master alloy to avoid the complexities and potential hazards associated with handling the raw element."
"What atomic element is strontium compared to in terms of chemical behavior?","Strontium is compared to calcium (atomic number 20) in terms of chemical behavior."
"What is the atomic number of yttrium?","39"
"Why might yttrium be considered a 'hippy' element?","Yttrium is considered a 'hippy' element because it's named after a town in Sweden, a notably loose country, and is also beloved by new age practitioners."
"What town is yttrium named after?","Yttrium is named after a town in Sweden."
"Why do new age practitioners value yttrium?","New age practitioners believe yttrium aids in communication between the spiritual and practical realms, especially when incorporated into fluorite crystals."
"What is the text's stance on yttrium's metaphysical properties?","The text makes it clear that yttrium has no concern for our metaphysical states and does not actually possess such properties."
"What is the speaker's opinion on ascribing magical properties to physical elements?","The speaker is frustrated when people ascribe magical properties to elements like yttrium and believes true magic lies in the elements' real-world applications."
"What is YBCO and why is it considered magical?","Yttrium barium copper oxide (YBCO) is a material that becomes a superconductor when cooled with liquid nitrogen and is considered magical because of phenomena like levitated magnets."
"What happens when you try to set a magnet on top of a cooled YBCO disk?","The magnet will stop about a quarter of an inch above the disk and float in midair."
"How does the text define the difference between magic and technology?","The text suggests that if something works, it's considered technology; if it doesn't work, people call it magic."
"What are YAG crystals and their use in technology?","Yttrium aluminum garnet (YAG) crystals are used in powerful pulsed lasers that can create beams of light, which can even bounce off the moon's reflectors."
"Why is the laser beam from YAG crystals able to reflect off the moon?","The beams from YAG crystals' lasers reflect off special cat's-eye reflectors that were placed on the moon by Apollo astronauts."
"According to the text, does yttrium actually hate humans as new age practitioners might believe?","No, the text sarcastically remarks that unbeknownst to new age practitioners, fluorite crystals 'hate our guts,' implying elements and crystals have no feelings towards humans."
"How does the author distinguish between superconductors and what is often perceived as magic?","The author points out that superconductors like YBCO exhibit phenomenal behaviors, such as levitation of magnets, which could be seen as magical but are actually repeatable scientific phenomena."
"What is the atomic number of zirconium?","The atomic number of zirconium is 40."
"Why are tubes made of high-purity zirconium used in nuclear reactors?","They are used because zirconium is transparent to the neutrons that power the reactor and can endure the extreme conditions inside a nuclear reactor core."
"What qualities of zirconium make it suitable for containment of fuel pellets in nuclear reactors?","Zirconium's toughness, hardness, and resistance to abrasion make it suitable for this use."
"Aside from nuclear reactors, where is zirconium commonly applied?","Zirconium is used in chemical reaction vessels for corrosive substances, incendiary bombs, and tracer rounds."
"What form of zirconium is used in abrasive tools, and why?","Zirconium oxide is used for grinding wheels and specialized sandpaper because of its hardness."
"What is the well-known simulated diamond made from zirconium dioxide called?","It is called cubic zirconia or CZ."
"How does the hardness of cubic zirconia compare to other materials?","Cubic zirconia is near the top of the hardness scale."
"What point does the author make about the comparison between cubic zirconia and diamonds?","The author suggests that diamonds are just overpriced cubic zirconia as there's no real difference in attractiveness, implying that the perceived value of diamonds is influenced by their high cost."
"What is the author's perspective on selecting engagement rings?","The author believes one should use hard-nosed reason and consider cubic zirconia, which is presented as a rational, down-to-earth choice."
"Who is the 'famously jealous' individual mentioned in the context of choosing a traditional jewel?","The text refers to Niobe as the 'famously jealous' individual in relation to choosing a traditional jewel for an engagement ring, possibly alluding to classical stories or myths."
"What paradoxical qualities does the text attribute to zirconium?","Zirconium is described as both tough and hard for industrial uses, while also having a 'gentle side', exemplified by its form as cubic zirconia, a simulated diamond."
"What implication does the author make by urging people to think of diamond as overpriced cubic zirconia?","The implication is that the value and appeal of diamonds are artificially inflated, while cubic zirconia is more reasonably priced yet equally beautiful."
"How does the text characterize the physical properties of zirconium in contrast to its uses in jewelry?","While zirconium is described as tough and abrasive in industrial applications, its derivative cubic zirconia is characterized as aesthetically pleasing and suitable for jewelry."
"What is the atomic number of niobium?","41"
"How is niobium connected to mythology?","It's named after Niobe, the daughter of Tantalus, son of Zeus."
"Where is niobium located on the periodic table in relation to tantalum?","Niobium is located just above tantalum on the periodic table."
"What is the atomic number of tantalum?","73"
"What could the fact that 'zeusium' was not proposed as a name for the element below tantalum indicate?","It suggests that familiarity with the classics is no longer considered essential in education."
"Why was the author's sample of niobium confiscated by the FBI?","The niobium sample was part of a rocket engine nozzle that was stolen from an Air Force base."
"What is a property of niobium that makes it suitable for rocket nozzles?","Niobium alloys resist corrosion even at high temperatures."
"Besides rocket nozzles, where else is niobium commonly used?","Niobium is used in jewelry, coins, and body piercings due to its ability to be anodized and its corrosion resistance."
"Why does niobium display a rainbow of colors when used in jewelry?","The rainbow of colors is due to the interference of light diffracted off thin transparent layers of oxide on its surface."
"What is the connection between niobium and MRI machines?","Niobium-titanium superconducting wire is used in MRI machines to create the huge magnetic fields necessary for imaging."
"What element is next to niobium in the periodic table and shares many of its strengths?","Molybdenum"
"How does molybdenum compare to niobium in terms of its 'romantic qualities'?","Molybdenum shares many of niobium's strengths but none of its romantic qualities."
"What year was dubnium named, and after what was it named?","Dubnium was named in 1997 after the town of Dubna."
"How can one potentially acquire niobium from shopping malls?","Pure niobium can be bought in the form of body piercing jewelry from certain stores in shopping malls."
"What might happen if a body piercing with niobium goes wrong?","You might need an MRI, which uses coils of niobium-titanium wire, to locate objects lost inside the body."
"What evidence is provided in the text to indicate that niobium is easy to purchase?","The text mentions that pure niobium can be surprisingly easy to buy in shopping malls, particularly as body piercings."
"What is the atomic number of molybdenum?","The atomic number of molybdenum is 42."
"For what main applications is molybdenum used?","Molybdenum is mainly used in steel alloys to increase strength and heat resistance, specifically in M-series high-speed tool steels."
"What does the 'M' in M-series high-speed tool steels stand for?","The 'M' in M-series high-speed tool steels stands for molybdenum."
"In what form is molybdenum used less commonly, and where is it utilized?","Pure molybdenum is less common and is used in situations where parts must withstand great stress and high temperatures over extended periods, such as in pressure vessels."
"What is the limitation of molybdenum when it comes to temperature?","Molybdenum oxidizes rapidly above approximately 1,500°F (800°C), which limits its use in the most extreme environments."
"What is molybdenum disulfide used for?","Molybdenum disulfide is an ultra-high-pressure lubricant that can tolerate extreme pressures and temperatures without seizing up."
"How is molybdenum disulfide commonly applied in industry?","It is applied either as a dry powder or mixed with oil or grease."
"Discuss the role of molybdenum in the production of the medical isotope 99Tcm.","Molybdenum decays into 99Tcm, and this reaction is used to create the medical isotope 99Tcm on the spot due to its short half-life of six hours."
"What is a 'moly cow' and what is its purpose?","A 'moly cow' is an informal name for a device that uses 99Mo to continually produce the medical isotope 99Tcm through decay."
"Why must 99Tcm be created on the spot for medical imaging purposes?","99Tcm must be created on the spot because it has a half-life of only six hours, making it impractical to store."
"What is the process of removing accumulated 99Tcm called?","The process is called 'milking.'"
"Why is the production of 99Tcm through a 'moly cow' significant in medicine?","The technetium generated is among the most intense sources of radiation used in medicine for imaging purposes."
"What environmental factor limits the use of molybdenum in certain applications?","Rapid oxidation above 1,500°F (800°C) limits the use of molybdenum in extremely high-temperature environments."
"How does molybdenum connect to its neighboring element on the periodic table?","Molybdenum leads to technetium, its neighbor on the periodic table, through the decay of isotope 99Mo to 99Tcm."
"What challenges might exist when handling a 'moly cow'?","Handling a 'moly cow' is challenging because it is a powerfully radioactive object."
"What two properties of molybdenum disulfide make it an excellent lubricant?","Molybdenum disulfide's ability to withstand extreme pressures and temperatures without seizing up makes it an excellent lubricant."
"What is the atomic number of technetium?","Technetium has an atomic number of 43."
"Why is technetium considered an anomaly on the periodic table?","Technetium is considered an anomaly because it's radioactive despite being located among the most stable elements in the fifth period transition metals."
"Which elements are generally considered stable on the periodic table?","Elements below bismuth (83) are considered stable."
"What is notable about technetium and promethium in relation to other elements?","Technetium and promethium stick out because they are radioactive while most elements around them are stable."
"For which medical condition might one be injected with a version of technetium?","Technetium may be injected to help diagnose bone cancer."
"What is the specific version of technetium used in medical imaging?","A short-half-life version called 99Tcm is used for medical imaging."
"How does technetium-99m help in medical imaging?","Technetium-99m is bone-seeking and helps in creating images of bone growth using a gamma-ray camera."
"What materials are used to transport 99Tcm safely?","99Tcm is transported in heavily shielded containers made of lead (82) or tungsten (74), known as 'pigs'."
"Why do the carts, used to transport 99Tcm, have long handles?","The carts have long handles to keep the radioactive material at a safe distance from the medics due to the radiation that escapes even through these protective 'pigs'."
"What risk do medical personnel face when working with radioisotopes like technetium?","Medical personnel face the risk of accumulating a dangerous dose of radiation over time due to repeated exposure."
"How did technetium get its name?","Technetium was named for being the first nonnaturally occurring element created by technological means."
"When was it discovered that technetium naturally occurs in pitchblende ores, albeit in small amounts?","This fact was discovered in 1962."
"What element follows technetium and signifies a return to stability on the periodic table?","Ruthenium follows technetium and signifies a return to stability."
"How many stable elements are there between ruthenium and the next radioactive element?","There are seventeen stable elements between ruthenium and the next radioactive one."
"In what way is the handling of technetium-99m in medicine paradoxical to patients?","It seems paradoxical because doctors use devices to keep the radioactive substance to be injected as far from themselves as possible, even though it's meant for the patient."
"What is the atomic number of ruthenium?","The atomic number of ruthenium is 44."
"Which region is the element ruthenium named after?","Ruthenium is named after Ruthenia, a region that historically includes parts of modern-day Russia, Ukraine, and Belarus."
"Why does the text argue against ruthenium being the first element named for its discoverer’s country?","The argument is that the region known as Rus during discoverer Karl Klaus's time does not correspond to any modern nation-state."
"In what form is ruthenium most commonly encountered in daily life?","Ruthenium is most commonly encountered in jewelry as a thin plating with a darkish gray, pewter-like shine."
"What are the two main applications of ruthenium mentioned in the text?","Ruthenium's main applications are as a catalyst and an alloying agent."
"Why is ruthenium plating considered economical?","Plating a thin layer of expensive ruthenium onto a less expensive base metal is more economical than using a solid mass of moderately expensive pewter due to ruthenium's high resistance to corrosion."
"What is a unique use of ruthenium mentioned in the text?","Ruthenium is used in single-crystal superalloys for high-performance turbine blades when cost is not a major concern."
"Which precious metal is ruthenium related to in terms of properties and occurrence?","Ruthenium is related to platinum in terms of properties and occurrence."
"What distinct visual quality does rhodium plating provide compared to ruthenium?","Rhodium plating is known for producing a brilliant luster, as opposed to the dark shine given by ruthenium."
"Can it be considered that ruthenium was named for Karl Klaus's homeland?","The text suggests it cannot be considered as such because Ruthenia does not correspond to a modern nation-state."
"What makes ruthenium a precious metal?","Ruthenium is considered a precious metal due to its classification and sharing many of platinum’s desirable properties."
"How does ruthenium's cost compare to pewter in the context of jewelry making?","Ruthenium is more expensive than pewter, which makes the use of thin ruthenium plating more economical for jewelry."
"What quality does ruthenium share with other platinum group metals that is crucial for its use in jewelry?","Ruthenium shares a high resistance to corrosion with other platinum group metals, making it valuable for jewelry plating."
"Is ruthenium considered a major or minor platinum group metal?","Ruthenium is considered one of the minor platinum group metals."
